job_id,estimate_id,customer_id,service_id,technician_id,completed_date,city,customer_type,maintenance_member,emergency_flag,billed_revenue,estimated_labor_hours,actual_labor_hours,labor_cost,material_cost,first_time_fix_flag,callback_flag,agreement_sold_flag,travel_minutes,response_minutes,customer_rating
16,31,323,2,1,2025-01-01,Spring Hill,Residential,0,0,533.46,2.37,1.62,55.24,116.75,1,0,1,54,260,4.6
17,32,1143,7,3,2025-01-02,Brentwood,Residential,0,0,1396.45,4.85,4.53,131.23,358.82,0,1,0,24,163,3.9
18,34,357,1,7,2025-01-02,Nashville,Residential,0,1,422.25,2.24,1.43,49.96,87.94,1,0,0,55,72,4.5
19,36,1310,5,6,2025-01-02,Nashville,Residential,0,0,167.86,1.09,1.26,39.16,21.55,0,1,0,44,188,4.1
20,38,758,5,8,2025-01-02,Nashville,Commercial,0,0,302.56,1.09,1.16,31.38,40.62,1,0,0,35,167,4.5
21,39,1279,4,5,2025-01-02,Nashville,Residential,0,0,2541.06,9.07,7.81,281.14,765.74,1,0,0,49,364,4.4
22,41,812,5,6,2025-01-02,Spring Hill,Commercial,1,0,300.33,1.11,1.25,38.71,36.42,1,0,0,37,243,4.5
23,44,1070,3,5,2025-01-02,Franklin,Residential,0,0,10409.69,15.88,16.99,611.56,5938.24,1,0,0,55,148,4.7
24,46,47,1,2,2025-01-02,Franklin,Residential,0,1,431.94,2.19,2.28,79.76,91.7,1,0,0,34,81,4.9
25,47,522,4,7,2025-01-02,Franklin,Residential,0,0,1773.44,10.2,9.55,334.31,586.71,1,0,0,8,282,4.9
26,48,364,1,4,2025-01-02,Spring Hill,Residential,1,0,505.67,2.61,2.4,67.26,115.59,1,0,0,33,271,4.5
27,49,835,1,6,2025-01-02,Nashville,Residential,0,0,603.83,2.2,2.49,77.21,114.44,1,0,1,29,218,5.0
28,50,480,5,3,2025-01-02,Franklin,Commercial,0,0,324.85,1.37,1.25,36.23,45.57,1,0,0,50,180,5.0
29,51,909,4,7,2025-01-02,Nashville,Residential,1,0,2470.77,9.56,10.01,350.38,879.35,1,0,0,30,139,4.8
30,52,1311,6,8,2025-01-02,Nashville,Residential,0,0,1530.54,3.8,5.05,136.36,583.08,1,0,0,16,250,3.9
31,53,322,5,6,2025-01-02,Franklin,Residential,0,0,214.93,0.96,0.91,28.3,31.52,1,0,0,30,209,5.0
32,55,338,5,8,2025-01-03,Nashville,Residential,0,0,214.59,1.49,0.91,24.56,28.61,1,0,0,15,296,3.8
33,56,1233,1,6,2025-01-03,Brentwood,Residential,1,0,387.45,2.43,2.69,83.36,76.66,0,0,0,48,238,4.5
34,58,374,1,1,2025-01-03,Franklin,Residential,0,0,484.68,2.0,1.59,54.07,88.67,1,0,0,21,204,4.9
35,60,169,2,3,2025-01-03,Franklin,Residential,0,0,498.46,2.19,2.4,69.66,112.4,1,0,0,40,223,4.6
36,61,444,1,3,2025-01-03,Franklin,Residential,1,0,310.78,2.33,2.44,70.74,70.07,1,0,0,39,250,4.4
37,65,1426,5,8,2025-01-03,Nashville,Residential,0,0,173.66,1.34,1.17,31.65,29.0,1,0,0,36,170,4.7
38,66,794,5,1,2025-01-03,Brentwood,Residential,1,0,194.6,1.2,1.24,42.04,30.33,0,1,0,42,166,3.9
39,67,187,1,3,2025-01-03,Franklin,Residential,0,0,505.27,2.07,2.33,67.56,104.2,1,0,0,54,185,4.7
40,68,1416,4,5,2025-01-03,Franklin,Residential,0,0,3519.53,8.35,6.68,240.61,1181.32,0,1,0,52,172,4.4
41,70,1359,5,2,2025-01-03,Nolensville,Residential,0,0,171.82,1.07,1.34,46.83,25.88,1,0,0,54,238,5.0
42,71,376,5,1,2025-01-03,Franklin,Residential,1,0,147.0,1.31,0.96,32.67,21.65,1,0,0,47,261,4.5
43,72,398,1,3,2025-01-03,Nashville,Residential,1,0,505.46,2.08,1.91,55.36,126.98,1,0,0,52,245,4.8
44,74,1117,3,5,2025-01-03,Nashville,Residential,1,0,8344.81,17.4,15.27,549.89,5226.95,1,0,0,33,267,4.9
45,75,671,3,5,2025-01-03,Nashville,Residential,1,0,10966.05,18.23,18.13,652.7,6102.18,1,0,0,29,238,4.7
46,76,1276,6,7,2025-01-03,Nashville,Residential,0,0,1059.62,3.95,4.05,141.76,543.43,0,0,0,45,286,4.7
47,78,168,2,3,2025-01-03,Franklin,Residential,0,0,462.3,2.67,2.57,74.46,102.91,1,0,0,30,252,4.8
48,79,175,5,5,2025-01-03,Nashville,Residential,1,0,218.03,1.15,1.35,48.48,33.84,1,0,0,8,199,4.5
49,80,227,3,5,2025-01-03,Spring Hill,Residential,1,0,8249.91,15.37,15.58,560.93,4266.11,1,0,0,38,356,4.8
50,82,198,1,7,2025-01-03,Nolensville,Residential,0,0,538.61,1.95,1.66,58.15,116.37,1,0,0,43,228,4.4
51,83,1447,6,7,2025-01-03,Nashville,Commercial,0,0,2143.91,3.38,3.16,110.73,885.63,1,0,0,54,311,5.0
52,84,1401,2,4,2025-01-03,Spring Hill,Residential,0,1,511.92,2.21,1.82,50.95,116.41,1,0,0,15,94,4.5
53,85,226,5,7,2025-01-03,Brentwood,Residential,0,0,191.41,1.1,1.39,48.6,26.44,0,0,0,39,307,4.4
54,86,273,7,2,2025-01-03,Nashville,Residential,1,0,1279.39,3.65,3.1,108.57,304.1,0,0,0,14,296,4.6
55,87,1141,5,5,2025-01-03,Franklin,Residential,0,0,196.23,0.93,0.78,27.91,29.72,1,0,0,50,228,4.2
56,88,1303,1,7,2025-01-03,Franklin,Residential,0,1,579.23,2.23,1.16,40.63,101.1,1,0,1,43,82,4.9
57,90,536,7,5,2025-01-03,Nashville,Commercial,1,0,1541.73,5.12,5.9,212.27,351.38,1,0,0,19,212,4.6
58,91,1289,2,1,2025-01-03,Franklin,Commercial,0,0,584.02,2.26,2.82,95.94,122.58,1,0,0,46,315,4.8
59,92,619,6,7,2025-01-04,Nashville,Residential,1,0,1764.93,3.68,4.45,155.85,799.25,1,0,0,16,320,4.6
60,93,656,5,6,2025-01-04,Franklin,Residential,0,0,176.23,1.29,1.18,36.58,24.02,1,0,0,53,321,4.8
61,94,219,2,5,2025-01-04,Nolensville,Residential,0,0,450.96,2.2,2.64,95.1,104.54,1,0,0,45,174,4.2
62,95,1083,1,3,2025-01-04,Nolensville,Residential,0,0,676.88,2.11,2.31,67.02,178.13,1,0,0,18,283,4.3
63,96,1414,1,7,2025-01-04,Brentwood,Residential,0,1,453.62,2.33,2.1,73.34,98.97,0,0,0,36,119,4.4
64,99,490,5,4,2025-01-04,Spring Hill,Residential,0,0,158.65,1.2,1.38,38.76,21.61,1,0,0,18,149,4.6
65,100,587,4,7,2025-01-04,Spring Hill,Residential,1,0,2311.21,11.89,8.77,306.95,596.0,1,0,0,35,273,4.0
66,101,52,1,6,2025-01-04,Nolensville,Residential,1,0,576.61,2.5,3.32,102.82,129.98,1,0,0,55,183,4.8
67,102,208,2,7,2025-01-04,Nashville,Residential,0,0,448.64,2.69,2.66,93.02,97.09,1,0,0,52,383,4.5
68,103,1121,5,8,2025-01-04,Franklin,Residential,0,0,219.71,1.38,1.34,36.17,30.98,1,0,0,20,134,4.0
69,104,78,1,3,2025-01-04,Nashville,Commercial,0,1,748.32,2.08,2.57,74.42,173.71,0,1,0,46,114,3.8
70,107,208,2,4,2025-01-04,Nashville,Residential,0,1,501.68,2.8,2.96,82.98,122.76,1,0,0,56,203,4.5
71,108,634,3,5,2025-01-04,Spring Hill,Residential,0,0,12819.23,18.54,20.79,748.36,6771.03,1,0,0,47,289,4.6
72,109,691,5,1,2025-01-04,Franklin,Residential,1,0,269.89,1.32,1.12,37.96,38.12,1,0,0,40,338,4.7
73,110,1444,2,3,2025-01-04,Brentwood,Residential,1,1,555.72,2.29,2.74,79.34,122.28,1,0,0,44,72,4.9
74,111,1063,5,8,2025-01-04,Spring Hill,Residential,1,0,145.04,1.37,1.6,43.26,20.17,1,0,0,39,351,3.9
75,113,766,1,4,2025-01-04,Spring Hill,Residential,1,0,408.29,2.58,3.35,93.76,101.93,0,1,0,42,188,4.0
76,114,287,1,1,2025-01-05,Franklin,Commercial,1,0,832.66,2.25,2.09,70.96,214.83,1,0,0,59,185,5.0
77,116,423,7,7,2025-01-05,Franklin,Commercial,1,0,2579.35,4.84,4.24,148.42,781.56,1,0,0,19,308,4.7
78,117,594,5,5,2025-01-05,Franklin,Residential,0,0,220.68,1.29,1.28,45.97,38.13,1,0,0,52,166,4.3
79,118,1220,5,5,2025-01-05,Nashville,Residential,1,0,171.37,1.19,1.14,41.22,28.76,1,0,0,20,324,4.8
80,119,126,1,5,2025-01-05,Nashville,Residential,0,0,617.54,2.19,2.13,76.78,119.42,1,0,0,43,221,4.6
81,120,974,5,7,2025-01-05,Spring Hill,Residential,0,0,208.97,1.15,0.98,34.45,36.08,1,0,0,46,371,4.3
82,121,1200,1,2,2025-01-05,Brentwood,Residential,0,0,424.51,2.27,1.86,65.01,88.69,1,0,1,38,161,4.8
83,122,1437,5,2,2025-01-05,Brentwood,Residential,1,0,177.06,1.2,1.29,45.3,30.88,1,0,0,47,326,5.0
84,123,1436,6,1,2025-01-05,Nashville,Residential,0,0,1286.81,3.92,3.25,110.51,431.22,1,0,0,44,134,4.5
85,125,1315,6,7,2025-01-05,Brentwood,Residential,1,0,1346.62,3.67,3.2,111.87,617.21,1,0,0,45,230,4.7
86,126,762,5,7,2025-01-05,Nashville,Residential,1,0,191.61,1.29,1.45,50.79,29.32,1,0,0,44,248,4.9
87,127,1142,1,1,2025-01-05,Spring Hill,Residential,0,0,608.13,2.05,1.8,61.25,119.26,1,0,0,28,168,5.0
88,129,1093,5,7,2025-01-05,Brentwood,Commercial,1,0,533.21,1.4,1.23,43.0,61.37,1,0,0,37,230,4.8
89,130,89,6,4,2025-01-05,Spring Hill,Residential,1,0,1123.86,3.55,4.37,122.45,384.21,1,0,0,39,201,4.1
90,132,1068,5,2,2025-01-05,Nolensville,Residential,0,0,218.03,1.45,1.54,53.95,31.61,1,0,0,49,214,5.0
91,133,1101,5,2,2025-01-05,Franklin,Commercial,1,0,293.06,1.36,1.34,46.89,43.55,1,0,0,46,234,4.7
92,134,338,5,2,2025-01-06,Nashville,Residential,0,0,168.93,1.26,1.34,46.82,23.47,1,0,0,31,192,4.9
93,135,1292,1,4,2025-01-06,Nolensville,Residential,0,1,371.5,2.09,2.04,57.01,82.03,1,0,1,52,128,4.1
94,136,399,5,4,2025-01-06,Franklin,Residential,0,0,147.84,1.28,1.74,48.62,28.18,0,1,0,54,293,3.7
95,139,571,7,5,2025-01-06,Nashville,Residential,0,0,978.73,4.92,5.5,197.88,228.02,1,0,0,19,326,4.7
96,140,774,1,7,2025-01-06,Franklin,Residential,0,0,397.51,2.37,2.09,73.29,119.57,1,0,0,47,243,4.7
97,141,1070,5,3,2025-01-06,Franklin,Residential,0,0,151.26,0.95,0.77,22.28,21.72,1,0,0,53,281,4.9
98,143,1154,3,7,2025-01-06,Nashville,Residential,1,0,8793.36,16.57,14.98,524.22,3853.39,1,0,0,52,209,4.2
99,144,18,6,8,2025-01-06,Nashville,Residential,1,0,1026.3,3.52,4.51,121.82,432.18,1,0,0,51,239,3.7
100,146,97,5,6,2025-01-06,Spring Hill,Residential,0,0,217.45,1.33,1.05,32.54,30.66,1,0,0,46,165,4.7
101,147,1239,1,8,2025-01-06,Franklin,Residential,1,1,514.04,1.73,2.3,62.13,121.39,1,0,0,43,65,4.3
102,148,356,4,5,2025-01-06,Nolensville,Residential,0,0,3354.06,10.87,12.47,448.93,906.48,1,0,0,12,122,4.4
103,150,874,6,6,2025-01-06,Franklin,Commercial,0,0,2129.28,3.51,2.58,79.91,1014.25,1,1,0,55,237,4.2
104,151,343,5,8,2025-01-06,Franklin,Residential,0,0,188.98,1.09,1.06,28.69,28.21,1,0,0,61,229,4.4
105,152,1087,1,7,2025-01-06,Nashville,Commercial,0,0,931.74,2.26,2.78,97.34,204.3,0,1,0,37,197,3.7
106,154,1050,5,1,2025-01-06,Nashville,Residential,1,0,184.84,0.99,1.1,37.43,25.9,1,0,0,23,246,5.0
107,156,1269,1,2,2025-01-06,Brentwood,Residential,0,0,389.18,2.31,1.96,68.45,82.64,0,1,0,32,255,4.3
108,157,841,5,3,2025-01-06,Nolensville,Residential,1,0,201.04,1.32,1.33,38.51,27.12,1,0,0,18,212,4.7
109,158,1360,6,8,2025-01-06,Franklin,Residential,1,0,1245.6,3.87,5.14,138.86,575.14,1,0,0,37,177,4.2
110,159,340,5,8,2025-01-06,Franklin,Residential,0,0,165.77,1.33,1.99,53.75,25.28,1,0,0,48,354,4.1
111,161,430,6,2,2025-01-06,Spring Hill,Residential,0,0,1187.56,3.94,3.53,123.48,416.39,1,0,0,51,176,4.7
112,166,529,2,6,2025-01-07,Nashville,Residential,0,0,627.39,2.03,1.74,54.05,135.23,1,0,1,46,281,4.6
113,167,356,5,5,2025-01-07,Nolensville,Residential,0,0,153.89,1.41,1.47,53.06,22.96,1,0,0,34,260,4.9
114,168,563,5,1,2025-01-07,Nashville,Commercial,0,0,301.19,1.12,1.28,43.68,48.93,1,0,0,65,227,4.9
115,169,1212,1,3,2025-01-07,Nashville,Residential,0,0,472.93,2.27,1.99,57.61,107.6,1,0,1,75,225,4.2
116,170,202,3,5,2025-01-07,Spring Hill,Residential,0,0,10535.28,19.46,16.68,600.3,5895.33,0,1,0,28,298,4.3
117,171,409,7,7,2025-01-07,Franklin,Residential,1,0,1148.06,4.97,5.16,180.48,301.44,1,0,0,20,271,4.8
118,172,1409,2,1,2025-01-07,Nashville,Residential,0,0,462.31,2.01,1.43,48.64,91.84,0,1,0,41,168,4.2
119,173,825,2,6,2025-01-07,Nashville,Residential,0,0,654.57,2.52,2.36,73.16,149.27,1,0,1,43,236,5.0
120,174,470,1,2,2025-01-07,Brentwood,Commercial,0,0,671.63,2.79,3.15,110.37,167.73,1,0,0,46,207,4.7
121,175,1263,7,8,2025-01-07,Spring Hill,Residential,0,0,917.71,4.26,5.71,154.22,195.44,0,1,0,56,280,4.0
122,176,90,5,2,2025-01-07,Spring Hill,Residential,0,0,233.67,1.34,1.36,47.45,36.04,1,0,0,53,250,5.0
123,177,840,2,2,2025-01-07,Nolensville,Residential,0,0,492.99,2.87,2.38,83.45,103.59,1,0,1,62,213,5.0
124,178,352,5,6,2025-01-07,Nashville,Residential,1,0,176.28,1.47,1.38,42.7,25.95,1,0,0,54,123,4.6
125,179,820,2,5,2025-01-07,Nashville,Residential,1,0,562.99,2.19,2.45,88.28,112.32,1,0,0,26,255,4.6
126,181,18,5,2,2025-01-07,Nashville,Residential,1,0,193.33,1.39,1.8,63.05,30.56,1,0,0,48,278,4.6
127,182,15,1,8,2025-01-07,Nashville,Residential,0,0,541.88,2.24,2.85,76.93,129.18,1,0,0,38,151,4.2
128,184,1274,5,7,2025-01-07,Nashville,Residential,0,0,180.67,1.29,0.92,32.09,25.55,1,0,0,48,180,4.2
129,185,1038,2,1,2025-01-07,Franklin,Residential,0,0,584.97,2.47,2.4,81.46,140.24,1,0,0,52,195,4.7
130,186,956,2,4,2025-01-07,Brentwood,Residential,0,1,481.31,2.45,2.57,72.03,78.64,1,0,0,27,83,4.4
131,187,1014,1,7,2025-01-07,Nashville,Residential,0,0,364.24,2.2,2.01,70.21,85.11,0,0,1,46,343,4.4
132,188,811,5,4,2025-01-07,Nolensville,Residential,1,0,176.83,1.06,1.04,28.99,24.59,1,0,0,50,273,4.3
133,190,1352,5,3,2025-01-07,Franklin,Residential,0,0,175.95,1.06,0.87,25.3,26.55,1,0,0,24,237,4.1
134,191,536,1,2,2025-01-07,Nashville,Commercial,1,0,626.18,2.45,2.43,85.03,170.93,1,0,0,31,394,5.0
135,192,569,1,5,2025-01-07,Nashville,Residential,0,0,682.51,1.78,2.1,75.75,141.69,1,0,0,21,245,4.6
136,193,1160,5,5,2025-01-08,Brentwood,Commercial,0,0,308.84,1.23,1.38,49.61,43.1,1,0,0,66,279,5.0
137,195,1063,2,5,2025-01-08,Spring Hill,Residential,1,0,342.1,2.54,3.28,118.05,102.55,1,0,0,24,223,5.0
138,200,445,2,2,2025-01-08,Franklin,Residential,1,1,379.31,2.32,2.34,81.86,107.11,1,0,0,26,114,4.8
139,203,88,6,3,2025-01-08,Nolensville,Commercial,0,0,2299.2,3.95,4.26,123.44,880.77,1,0,0,36,199,4.6
140,204,65,6,5,2025-01-08,Spring Hill,Residential,0,0,839.19,4.16,4.25,152.94,305.07,0,1,0,40,311,4.2
141,206,403,6,6,2025-01-08,Nashville,Residential,0,0,1009.64,3.65,3.52,109.17,428.51,1,0,0,55,198,4.9
142,207,686,1,5,2025-01-08,Nashville,Residential,0,1,596.07,2.13,1.98,71.13,132.18,1,0,0,30,20,4.7
143,208,1167,1,4,2025-01-08,Nolensville,Residential,0,0,396.44,2.42,2.85,79.85,92.07,1,0,0,35,135,4.6
144,209,357,5,6,2025-01-08,Nashville,Residential,0,0,159.13,1.31,1.29,39.87,22.76,1,0,0,33,209,4.8
145,210,307,3,7,2025-01-08,Brentwood,Residential,0,0,10014.16,23.38,22.02,770.65,5231.91,1,0,0,72,163,5.0
146,211,509,6,4,2025-01-08,Brentwood,Residential,0,0,1327.71,3.83,4.04,113.02,588.14,1,0,0,20,287,4.8
147,217,1129,5,7,2025-01-09,Brentwood,Residential,0,0,140.66,1.29,1.17,40.79,21.31,1,0,0,59,242,5.0
148,220,363,1,7,2025-01-09,Nashville,Residential,1,0,388.46,2.16,1.63,57.1,97.29,1,0,0,48,268,4.7
149,221,220,1,8,2025-01-09,Nashville,Residential,0,0,705.46,2.02,2.25,60.65,139.35,1,0,0,16,254,4.0
150,222,85,2,3,2025-01-09,Nashville,Residential,1,0,522.86,1.84,1.49,43.18,149.34,1,0,0,30,172,4.6
151,223,1344,5,3,2025-01-09,Nashville,Residential,0,0,164.58,1.26,1.25,36.34,26.11,1,0,0,51,231,4.6
152,224,471,5,1,2025-01-09,Spring Hill,Residential,0,0,222.35,1.37,1.35,45.91,32.32,1,0,0,41,316,4.9
153,225,450,2,4,2025-01-09,Nashville,Residential,0,0,452.02,2.29,2.46,68.76,95.79,1,0,0,37,152,4.3
154,226,1220,1,5,2025-01-09,Nashville,Residential,1,0,404.58,2.44,2.06,74.04,112.34,1,0,0,38,227,4.6
155,227,103,5,5,2025-01-09,Brentwood,Residential,1,0,186.09,1.02,0.91,32.68,29.56,1,0,0,57,290,4.8
156,228,1023,4,5,2025-01-10,Franklin,Residential,0,0,1862.55,10.66,12.09,435.17,549.33,1,0,0,20,260,4.2
157,230,598,5,2,2025-01-10,Nashville,Residential,0,0,267.02,1.23,1.49,52.24,36.99,1,0,0,50,148,4.6
158,232,748,1,6,2025-01-10,Franklin,Commercial,0,0,534.08,2.24,2.18,67.71,119.64,1,0,0,40,303,4.6
159,233,765,1,5,2025-01-10,Nolensville,Residential,0,0,455.37,2.18,2.02,72.8,95.87,1,0,0,45,178,4.5
160,234,1255,5,3,2025-01-10,Nashville,Residential,1,0,162.57,1.34,1.5,43.36,23.99,1,0,0,41,256,5.0
161,235,101,1,3,2025-01-10,Franklin,Residential,0,0,454.26,1.99,2.21,64.19,94.81,1,0,0,20,176,4.6
162,236,136,2,1,2025-01-10,Spring Hill,Commercial,1,0,954.03,2.87,1.91,65.01,201.35,1,0,0,49,240,4.5
163,237,1436,1,3,2025-01-10,Nashville,Residential,0,0,389.28,1.9,2.04,59.13,71.47,1,0,1,46,307,4.4
164,238,230,1,6,2025-01-10,Nolensville,Residential,1,0,400.99,1.88,1.44,44.5,74.38,1,0,0,26,338,4.6
165,239,787,4,5,2025-01-10,Nashville,Commercial,0,0,4544.34,9.72,6.82,245.39,1944.64,1,0,0,11,314,5.0
166,240,345,1,3,2025-01-10,Nolensville,Residential,0,1,328.73,2.12,1.94,56.21,71.91,0,1,0,15,118,4.1
167,241,1398,5,1,2025-01-10,Nolensville,Residential,0,0,151.95,1.14,1.2,40.95,22.52,1,0,0,57,265,4.8
168,242,281,5,7,2025-01-10,Franklin,Residential,1,0,178.6,1.33,1.49,52.28,30.11,1,0,0,28,237,4.4
169,243,1089,2,4,2025-01-10,Brentwood,Residential,0,0,477.11,1.82,1.71,47.91,118.42,1,0,0,59,268,4.4
170,244,532,1,4,2025-01-10,Nashville,Residential,0,0,405.18,1.93,1.56,43.69,89.1,1,0,0,46,257,4.4
171,245,1450,6,2,2025-01-10,Brentwood,Residential,1,0,1202.39,2.93,2.46,86.12,469.36,1,0,0,32,255,4.6
172,246,942,1,3,2025-01-10,Franklin,Residential,0,0,516.79,2.47,2.42,70.16,108.65,1,0,0,46,363,5.0
173,247,638,1,3,2025-01-10,Brentwood,Residential,0,0,419.59,2.27,2.56,74.31,107.41,1,0,0,54,222,4.6
174,249,1396,2,3,2025-01-10,Spring Hill,Residential,1,0,429.44,2.46,2.02,58.71,97.22,1,0,0,44,360,4.6
175,250,1287,5,1,2025-01-10,Franklin,Residential,0,0,177.01,1.28,1.19,40.58,22.83,1,0,0,36,230,4.8
176,251,618,5,3,2025-01-10,Nashville,Residential,0,0,207.26,1.36,1.57,45.65,32.45,1,0,0,55,204,4.4
177,252,631,5,6,2025-01-10,Nashville,Residential,0,0,162.04,1.29,0.82,25.32,23.56,1,0,0,28,194,4.1
178,254,949,3,7,2025-01-11,Spring Hill,Residential,0,0,8519.32,17.05,19.28,674.64,5557.71,1,0,0,49,142,4.7
179,255,881,2,7,2025-01-11,Nashville,Residential,0,0,518.35,2.18,2.84,99.47,106.27,1,0,1,60,241,4.7
180,256,1283,6,5,2025-01-11,Franklin,Residential,0,0,1269.93,3.24,3.7,133.18,580.36,1,0,0,51,185,4.8
181,257,680,4,5,2025-01-11,Nashville,Residential,0,0,2346.7,9.74,7.83,281.89,853.61,1,0,0,16,206,5.0
182,258,222,1,4,2025-01-11,Nolensville,Residential,0,1,537.87,3.11,3.44,96.34,106.29,1,0,1,66,75,4.1
183,259,1416,1,2,2025-01-11,Franklin,Residential,0,0,423.69,2.3,2.72,95.13,100.74,1,0,0,35,165,4.8
184,260,271,3,7,2025-01-11,Nolensville,Residential,1,0,8212.68,19.09,22.52,788.22,4568.89,0,1,0,34,181,3.9
185,262,420,2,5,2025-01-11,Nashville,Residential,0,1,401.58,2.39,2.44,87.95,93.03,1,0,1,41,127,4.8
186,263,1106,1,5,2025-01-11,Nolensville,Residential,0,0,520.03,2.28,1.9,68.29,86.32,0,1,0,39,240,4.4
187,264,855,1,7,2025-01-11,Spring Hill,Commercial,1,0,840.48,2.16,2.14,75.07,223.41,1,0,0,38,329,4.7
188,265,60,1,5,2025-01-11,Franklin,Residential,1,1,401.25,2.71,2.32,83.37,101.98,0,1,0,59,149,4.3
189,266,86,3,5,2025-01-11,Franklin,Residential,1,0,9882.64,19.38,18.71,673.39,4863.27,0,0,0,45,267,4.5
190,268,1003,5,7,2025-01-11,Nolensville,Residential,1,0,227.8,1.47,1.85,64.59,32.05,0,0,0,53,203,4.5
191,269,1038,7,4,2025-01-11,Franklin,Residential,0,0,1273.8,3.81,3.38,94.69,310.74,1,0,0,52,226,4.4
192,271,742,5,8,2025-01-11,Brentwood,Residential,1,0,176.38,1.19,1.18,31.81,25.39,1,0,0,32,310,4.3
193,272,1045,5,3,2025-01-11,Brentwood,Residential,1,0,187.23,1.56,1.55,44.83,25.41,1,0,0,43,240,4.7
194,273,715,1,3,2025-01-11,Nashville,Residential,0,1,315.53,2.21,2.34,67.94,68.22,1,0,0,31,248,4.4
195,274,373,1,5,2025-01-11,Spring Hill,Residential,0,1,384.58,2.48,2.56,92.3,94.31,1,0,0,61,138,4.8
196,276,1323,3,7,2025-01-11,Nashville,Commercial,1,0,20434.56,16.95,15.6,546.09,11463.94,0,0,0,40,176,4.6
197,277,975,1,5,2025-01-11,Nashville,Residential,0,1,428.73,2.08,2.65,95.38,95.29,1,0,0,8,135,4.8
198,278,602,6,1,2025-01-11,Nashville,Residential,0,0,1388.48,3.25,2.47,83.84,647.98,0,1,0,27,214,3.9
199,279,579,1,7,2025-01-11,Brentwood,Residential,0,0,498.15,2.1,2.03,70.89,122.06,1,0,0,58,180,4.4
200,280,419,2,6,2025-01-12,Nashville,Commercial,1,0,656.41,2.27,1.99,61.84,187.49,1,0,0,45,236,4.4
201,281,858,1,1,2025-01-12,Nashville,Residential,0,0,561.87,1.97,2.24,76.25,124.21,1,0,0,38,161,4.6
202,282,1107,1,8,2025-01-12,Nashville,Residential,1,0,346.14,1.81,1.97,53.21,66.86,0,1,0,51,286,3.6
203,283,600,4,7,2025-01-12,Nolensville,Residential,0,0,1911.8,7.41,7.44,260.41,538.44,1,0,0,43,317,4.6
204,284,399,6,2,2025-01-12,Franklin,Residential,0,0,1104.14,3.67,3.91,136.74,577.76,1,0,0,31,260,4.9
205,286,440,5,1,2025-01-12,Franklin,Residential,0,0,189.74,1.17,1.16,39.38,24.27,1,0,0,49,254,4.7
206,287,979,6,6,2025-01-12,Franklin,Residential,0,0,1299.44,3.6,3.59,111.43,458.99,1,0,0,39,336,4.6
207,288,1324,1,2,2025-01-12,Franklin,Residential,0,0,505.08,2.07,1.3,45.41,114.24,1,0,0,13,283,4.7
208,289,625,5,3,2025-01-12,Brentwood,Residential,0,0,153.51,1.26,1.25,36.25,26.62,1,0,1,52,231,4.5
209,290,469,3,7,2025-01-12,Brentwood,Residential,1,0,11758.32,18.69,18.46,646.18,5980.87,1,0,0,45,201,5.0
210,291,96,1,6,2025-01-12,Nolensville,Residential,0,1,643.94,2.3,1.94,60.07,149.82,0,1,0,46,20,4.0
