customer_id,customer_name,customer_type,city,signup_date,lead_source,maintenance_member
34,Customer 0034,Residential,Franklin,2022-01-01,Direct Mail,0
35,Customer 0035,Residential,Brentwood,2024-05-07,Direct Mail,0
36,Customer 0036,Residential,Spring Hill,2023-04-03,Google,1
37,Customer 0037,Residential,Nashville,2024-07-14,Google,1
38,Customer 0038,Residential,Franklin,2020-09-17,Referral,0
39,Customer 0039,Residential,Nashville,2021-11-23,Google,1
40,Customer 0040,Residential,Franklin,2023-10-16,Direct Mail,0
41,Customer 0041,Residential,Nolensville,2020-12-23,Google,0
42,Customer 0042,Residential,Spring Hill,2022-07-09,Home Services Marketplace,0
43,Customer 0043,Residential,Franklin,2024-08-13,Google,0
44,Customer 0044,Residential,Brentwood,2023-09-28,Google,0
45,Customer 0045,Residential,Brentwood,2024-08-06,Direct Mail,0
46,Customer 0046,Residential,Spring Hill,2023-08-23,Google,0
47,Customer 0047,Residential,Franklin,2020-12-02,Direct Mail,0
48,Customer 0048,Residential,Brentwood,2022-04-29,Home Services Marketplace,1
49,Customer 0049,Residential,Nashville,2022-07-24,Referral,0
50,Customer 0050,Residential,Franklin,2024-09-03,Organic,1
51,Customer 0051,Residential,Spring Hill,2022-09-20,Organic,1
52,Customer 0052,Residential,Nolensville,2023-11-26,Google,1
53,Customer 0053,Residential,Franklin,2023-06-01,Referral,0
54,Customer 0054,Residential,Spring Hill,2021-11-21,Google,0
55,Customer 0055,Residential,Brentwood,2024-11-22,Direct Mail,0
56,Customer 0056,Residential,Spring Hill,2024-01-17,Referral,0
57,Customer 0057,Residential,Franklin,2024-08-24,Google,0
58,Customer 0058,Residential,Nashville,2022-06-05,Google,0
59,Customer 0059,Residential,Brentwood,2021-11-10,Organic,1
60,Customer 0060,Residential,Franklin,2023-10-04,Direct Mail,1
61,Customer 0061,Residential,Brentwood,2020-10-13,Google,0
62,Customer 0062,Residential,Nashville,2021-12-31,Google,0
63,Customer 0063,Residential,Spring Hill,2023-12-08,Google,0
64,Customer 0064,Residential,Nashville,2022-09-18,Google,0
65,Customer 0065,Residential,Spring Hill,2021-08-23,Google,0
66,Customer 0066,Residential,Nashville,2021-10-22,Referral,0
67,Customer 0067,Residential,Spring Hill,2020-12-17,Google,0
68,Customer 0068,Residential,Nashville,2021-05-11,Google,1
69,Customer 0069,Residential,Nashville,2024-07-27,Google,1
70,Customer 0070,Residential,Brentwood,2024-06-01,Google,0
71,Customer 0071,Residential,Nashville,2023-01-08,Home Services Marketplace,1
72,Customer 0072,Residential,Spring Hill,2024-02-03,Referral,0
73,Customer 0073,Residential,Franklin,2021-04-23,Referral,0
74,Customer 0074,Residential,Brentwood,2021-04-04,Google,1
75,Customer 0075,Residential,Spring Hill,2024-05-17,Organic,1
76,Customer 0076,Residential,Nashville,2023-10-18,Organic,1
77,Customer 0077,Residential,Nashville,2023-07-01,Referral,1
78,Customer 0078,Commercial,Nashville,2024-09-09,Google,0
79,Customer 0079,Residential,Franklin,2024-12-15,Google,0
80,Customer 0080,Commercial,Nashville,2024-01-27,Organic,0
81,Customer 0081,Residential,Franklin,2024-12-03,Google,0
82,Customer 0082,Residential,Spring Hill,2024-02-21,Referral,0
83,Customer 0083,Residential,Nolensville,2024-02-23,Referral,0
84,Customer 0084,Residential,Nashville,2024-10-02,Home Services Marketplace,1
85,Customer 0085,Residential,Nashville,2024-05-26,Referral,1
86,Customer 0086,Residential,Franklin,2021-06-30,Organic,1
87,Customer 0087,Residential,Spring Hill,2024-01-25,Direct Mail,0
88,Customer 0088,Commercial,Nolensville,2024-11-02,Google,0
89,Customer 0089,Residential,Spring Hill,2022-09-01,Home Services Marketplace,1
90,Customer 0090,Residential,Spring Hill,2023-06-25,Google,0
91,Customer 0091,Residential,Brentwood,2024-10-04,Home Services Marketplace,1
92,Customer 0092,Residential,Nashville,2022-05-25,Referral,0
93,Customer 0093,Residential,Nolensville,2023-09-23,Google,0
94,Customer 0094,Residential,Nashville,2024-08-02,Direct Mail,0
95,Customer 0095,Residential,Nashville,2022-09-26,Organic,1
96,Customer 0096,Residential,Nolensville,2024-10-27,Google,0
97,Customer 0097,Residential,Spring Hill,2023-06-28,Google,0
98,Customer 0098,Residential,Brentwood,2023-03-21,Referral,1
99,Customer 0099,Residential,Spring Hill,2021-09-29,Google,1
100,Customer 0100,Residential,Nashville,2022-01-23,Direct Mail,0
101,Customer 0101,Residential,Franklin,2020-10-25,Organic,0
102,Customer 0102,Residential,Nashville,2021-04-02,Direct Mail,0
103,Customer 0103,Residential,Brentwood,2024-04-11,Organic,1
104,Customer 0104,Residential,Nashville,2022-09-08,Google,0
105,Customer 0105,Residential,Brentwood,2023-11-26,Referral,0
106,Customer 0106,Residential,Spring Hill,2024-01-01,Organic,0
107,Customer 0107,Residential,Nashville,2024-12-22,Google,0
108,Customer 0108,Residential,Nashville,2021-07-29,Organic,1
109,Customer 0109,Residential,Franklin,2023-10-12,Referral,1
110,Customer 0110,Commercial,Nolensville,2020-11-06,Google,0
111,Customer 0111,Residential,Nashville,2021-06-05,Organic,0
112,Customer 0112,Commercial,Nashville,2023-08-29,Organic,1
113,Customer 0113,Residential,Nashville,2024-11-02,Google,1
114,Customer 0114,Residential,Spring Hill,2020-09-01,Google,0
115,Customer 0115,Residential,Franklin,2023-11-20,Organic,1
116,Customer 0116,Residential,Franklin,2024-02-24,Organic,0
117,Customer 0117,Residential,Nashville,2020-08-28,Home Services Marketplace,0
118,Customer 0118,Residential,Nolensville,2021-01-27,Referral,0
119,Customer 0119,Residential,Nashville,2024-04-18,Referral,0
120,Customer 0120,Residential,Nolensville,2021-11-04,Organic,0
121,Customer 0121,Commercial,Spring Hill,2021-07-17,Home Services Marketplace,0
122,Customer 0122,Residential,Spring Hill,2021-11-26,Referral,0
123,Customer 0123,Residential,Nashville,2022-06-15,Google,1
124,Customer 0124,Residential,Nashville,2020-09-06,Home Services Marketplace,0
125,Customer 0125,Residential,Franklin,2022-07-06,Google,1
126,Customer 0126,Residential,Nashville,2023-03-09,Home Services Marketplace,0
127,Customer 0127,Residential,Nashville,2022-10-30,Organic,0
128,Customer 0128,Residential,Brentwood,2022-09-10,Google,1
129,Customer 0129,Residential,Franklin,2022-08-15,Referral,1
130,Customer 0130,Commercial,Nolensville,2024-11-12,Home Services Marketplace,0
131,Customer 0131,Residential,Nolensville,2024-12-10,Direct Mail,1
132,Customer 0132,Residential,Nashville,2022-08-17,Referral,0
133,Customer 0133,Residential,Nolensville,2023-09-28,Referral,0
134,Customer 0134,Residential,Nashville,2022-10-18,Google,0
135,Customer 0135,Residential,Brentwood,2024-01-19,Home Services Marketplace,0
136,Customer 0136,Commercial,Spring Hill,2021-12-25,Google,1
137,Customer 0137,Residential,Franklin,2024-10-28,Google,0
138,Customer 0138,Residential,Franklin,2023-12-16,Google,0
139,Customer 0139,Residential,Franklin,2023-02-22,Google,0
140,Customer 0140,Residential,Spring Hill,2022-08-12,Google,1
141,Customer 0141,Residential,Nashville,2021-12-14,Google,0
142,Customer 0142,Residential,Spring Hill,2024-08-04,Home Services Marketplace,0
143,Customer 0143,Residential,Brentwood,2023-08-04,Google,0
144,Customer 0144,Residential,Nashville,2024-04-08,Referral,0
145,Customer 0145,Commercial,Nashville,2022-05-15,Organic,0
146,Customer 0146,Residential,Nolensville,2021-07-28,Direct Mail,1
147,Customer 0147,Residential,Brentwood,2024-01-22,Direct Mail,0
148,Customer 0148,Residential,Nashville,2023-03-25,Referral,0
149,Customer 0149,Residential,Spring Hill,2020-12-19,Google,0
150,Customer 0150,Residential,Brentwood,2023-08-13,Google,1
151,Customer 0151,Residential,Nolensville,2021-08-11,Home Services Marketplace,0
152,Customer 0152,Residential,Nolensville,2024-09-29,Referral,0
153,Customer 0153,Residential,Franklin,2022-02-20,Organic,1
154,Customer 0154,Residential,Nashville,2022-03-25,Google,0
155,Customer 0155,Residential,Spring Hill,2022-05-26,Organic,1
156,Customer 0156,Residential,Franklin,2021-04-30,Google,0
157,Customer 0157,Residential,Nolensville,2022-04-07,Referral,1
158,Customer 0158,Residential,Nolensville,2023-03-03,Home Services Marketplace,0
159,Customer 0159,Residential,Nolensville,2022-06-13,Google,0
160,Customer 0160,Residential,Franklin,2022-11-07,Google,0
161,Customer 0161,Residential,Franklin,2022-03-30,Google,1
162,Customer 0162,Residential,Nolensville,2021-08-20,Organic,0
163,Customer 0163,Residential,Nashville,2023-11-27,Google,1
164,Customer 0164,Residential,Brentwood,2020-09-22,Google,1
165,Customer 0165,Residential,Franklin,2022-06-19,Home Services Marketplace,0
166,Customer 0166,Residential,Nashville,2021-02-05,Google,0
167,Customer 0167,Residential,Brentwood,2021-11-15,Referral,0
168,Customer 0168,Residential,Franklin,2023-02-14,Referral,0
169,Customer 0169,Residential,Franklin,2023-09-07,Google,0
170,Customer 0170,Residential,Nashville,2021-12-21,Direct Mail,0
171,Customer 0171,Residential,Brentwood,2020-11-01,Referral,1
172,Customer 0172,Commercial,Brentwood,2022-01-13,Organic,0
173,Customer 0173,Residential,Spring Hill,2023-04-26,Google,1
174,Customer 0174,Residential,Nashville,2021-12-25,Google,0
175,Customer 0175,Residential,Nashville,2023-05-04,Organic,1
176,Customer 0176,Residential,Nashville,2022-03-23,Google,1
177,Customer 0177,Residential,Nashville,2022-04-17,Referral,0
178,Customer 0178,Residential,Nashville,2022-04-19,Google,0
179,Customer 0179,Residential,Nashville,2021-09-28,Organic,0
180,Customer 0180,Residential,Nashville,2021-10-27,Direct Mail,0
181,Customer 0181,Residential,Nashville,2021-11-06,Organic,0
182,Customer 0182,Residential,Brentwood,2023-09-17,Home Services Marketplace,0
183,Customer 0183,Commercial,Franklin,2023-04-24,Home Services Marketplace,0
184,Customer 0184,Residential,Spring Hill,2021-06-30,Google,0
185,Customer 0185,Residential,Spring Hill,2020-09-12,Google,0
186,Customer 0186,Residential,Nashville,2024-02-05,Google,0
187,Customer 0187,Residential,Franklin,2022-09-08,Referral,0
188,Customer 0188,Residential,Brentwood,2023-09-05,Google,1
189,Customer 0189,Residential,Nashville,2024-07-30,Organic,0
190,Customer 0190,Residential,Spring Hill,2021-06-21,Referral,1
191,Customer 0191,Residential,Nolensville,2024-05-01,Referral,0
192,Customer 0192,Commercial,Brentwood,2024-03-06,Google,1
193,Customer 0193,Residential,Nashville,2020-10-11,Home Services Marketplace,1
194,Customer 0194,Residential,Spring Hill,2022-05-08,Organic,0
195,Customer 0195,Commercial,Brentwood,2022-03-04,Referral,1
196,Customer 0196,Residential,Franklin,2022-07-22,Organic,1
197,Customer 0197,Residential,Brentwood,2023-09-11,Direct Mail,0
198,Customer 0198,Residential,Nolensville,2024-11-10,Direct Mail,0
199,Customer 0199,Residential,Brentwood,2024-10-01,Organic,1
200,Customer 0200,Residential,Nashville,2022-07-01,Direct Mail,0
201,Customer 0201,Residential,Nashville,2021-06-01,Home Services Marketplace,0
202,Customer 0202,Residential,Spring Hill,2022-09-08,Google,0
203,Customer 0203,Residential,Brentwood,2023-02-16,Referral,0
204,Customer 0204,Residential,Franklin,2022-09-24,Home Services Marketplace,1
205,Customer 0205,Residential,Franklin,2023-03-19,Google,1
206,Customer 0206,Residential,Nashville,2022-02-03,Home Services Marketplace,1
207,Customer 0207,Residential,Nashville,2022-05-21,Referral,1
208,Customer 0208,Residential,Nashville,2020-09-25,Referral,0
209,Customer 0209,Residential,Franklin,2023-06-25,Referral,1
210,Customer 0210,Residential,Spring Hill,2021-01-22,Referral,0
211,Customer 0211,Residential,Nashville,2023-08-20,Organic,0
212,Customer 0212,Residential,Nashville,2022-09-09,Google,0
213,Customer 0213,Commercial,Spring Hill,2022-05-22,Direct Mail,1
214,Customer 0214,Residential,Brentwood,2020-12-16,Google,0
215,Customer 0215,Residential,Brentwood,2022-04-09,Direct Mail,0
216,Customer 0216,Residential,Nashville,2022-10-29,Google,0
217,Customer 0217,Residential,Brentwood,2024-03-18,Home Services Marketplace,1
218,Customer 0218,Residential,Nashville,2022-08-26,Google,1
219,Customer 0219,Residential,Nolensville,2024-12-17,Google,0
220,Customer 0220,Residential,Nashville,2021-04-11,Referral,0
221,Customer 0221,Residential,Nashville,2023-01-16,Google,1
222,Customer 0222,Residential,Nolensville,2023-03-04,Home Services Marketplace,0
223,Customer 0223,Residential,Spring Hill,2022-10-30,Google,0
224,Customer 0224,Residential,Nolensville,2020-10-19,Referral,0
225,Customer 0225,Residential,Spring Hill,2021-04-03,Home Services Marketplace,1
226,Customer 0226,Residential,Brentwood,2024-10-08,Google,0
227,Customer 0227,Residential,Spring Hill,2024-05-31,Home Services Marketplace,1
228,Customer 0228,Residential,Franklin,2022-06-01,Google,0
229,Customer 0229,Residential,Nashville,2024-02-10,Google,0
230,Customer 0230,Residential,Nolensville,2021-06-25,Organic,1
231,Customer 0231,Residential,Brentwood,2021-03-12,Home Services Marketplace,1
232,Customer 0232,Residential,Franklin,2020-12-12,Home Services Marketplace,0
233,Customer 0233,Residential,Franklin,2021-07-07,Google,0
234,Customer 0234,Commercial,Brentwood,2023-09-14,Organic,0
235,Customer 0235,Residential,Franklin,2021-06-04,Organic,0
236,Customer 0236,Residential,Nashville,2023-04-19,Direct Mail,0
237,Customer 0237,Residential,Nashville,2023-05-02,Referral,0
238,Customer 0238,Residential,Franklin,2022-09-01,Referral,0
239,Customer 0239,Residential,Nolensville,2024-07-14,Organic,1
240,Customer 0240,Residential,Franklin,2022-03-09,Direct Mail,1
241,Customer 0241,Residential,Nashville,2023-07-21,Referral,0
242,Customer 0242,Commercial,Brentwood,2022-05-15,Direct Mail,0
243,Customer 0243,Residential,Brentwood,2022-07-02,Direct Mail,1
244,Customer 0244,Residential,Spring Hill,2022-08-07,Organic,0
245,Customer 0245,Residential,Franklin,2022-10-27,Home Services Marketplace,0
246,Customer 0246,Residential,Nashville,2022-12-18,Referral,0
247,Customer 0247,Residential,Spring Hill,2021-04-14,Referral,0
248,Customer 0248,Residential,Nashville,2020-10-19,Direct Mail,0
249,Customer 0249,Residential,Spring Hill,2023-05-16,Home Services Marketplace,0
250,Customer 0250,Residential,Nashville,2023-10-01,Organic,0
251,Customer 0251,Residential,Brentwood,2020-12-07,Organic,0
252,Customer 0252,Residential,Brentwood,2024-06-07,Direct Mail,0
253,Customer 0253,Residential,Brentwood,2022-07-04,Google,0
254,Customer 0254,Residential,Franklin,2023-04-28,Google,1
255,Customer 0255,Residential,Franklin,2021-12-14,Home Services Marketplace,1
256,Customer 0256,Residential,Franklin,2023-06-13,Home Services Marketplace,0
257,Customer 0257,Residential,Nashville,2022-04-11,Direct Mail,0
258,Customer 0258,Residential,Nashville,2024-05-01,Referral,1
259,Customer 0259,Residential,Nashville,2023-09-17,Home Services Marketplace,1
260,Customer 0260,Commercial,Brentwood,2021-11-07,Referral,0
261,Customer 0261,Residential,Nolensville,2021-12-20,Google,1
262,Customer 0262,Residential,Franklin,2023-07-05,Referral,0
263,Customer 0263,Commercial,Nolensville,2024-05-15,Organic,0
264,Customer 0264,Residential,Franklin,2021-10-30,Google,1
265,Customer 0265,Residential,Brentwood,2021-05-31,Home Services Marketplace,0
266,Customer 0266,Residential,Spring Hill,2022-09-08,Google,1
267,Customer 0267,Residential,Nashville,2022-03-20,Google,1
268,Customer 0268,Residential,Nashville,2022-10-19,Referral,1
269,Customer 0269,Residential,Brentwood,2021-12-12,Referral,1
270,Customer 0270,Residential,Nolensville,2022-08-26,Organic,1
271,Customer 0271,Residential,Nolensville,2023-05-30,Google,1
272,Customer 0272,Residential,Franklin,2023-08-27,Home Services Marketplace,1
273,Customer 0273,Residential,Nashville,2021-12-03,Direct Mail,1
274,Customer 0274,Residential,Brentwood,2023-06-06,Google,0
275,Customer 0275,Residential,Nashville,2022-06-05,Google,0
276,Customer 0276,Residential,Nashville,2024-11-09,Google,0
277,Customer 0277,Commercial,Nashville,2021-10-23,Google,0
278,Customer 0278,Residential,Nolensville,2021-09-09,Google,0
279,Customer 0279,Residential,Spring Hill,2024-02-24,Home Services Marketplace,0
280,Customer 0280,Residential,Brentwood,2024-03-01,Direct Mail,0
281,Customer 0281,Residential,Franklin,2024-05-11,Organic,1
282,Customer 0282,Residential,Nashville,2023-08-23,Referral,1
283,Customer 0283,Residential,Nashville,2024-04-07,Organic,1
284,Customer 0284,Residential,Franklin,2022-04-22,Referral,1
285,Customer 0285,Residential,Franklin,2022-06-11,Referral,0
286,Customer 0286,Residential,Spring Hill,2021-04-13,Referral,0
287,Customer 0287,Commercial,Franklin,2024-08-20,Direct Mail,1
288,Customer 0288,Residential,Nolensville,2024-05-15,Referral,0
289,Customer 0289,Residential,Spring Hill,2024-07-10,Google,0
290,Customer 0290,Residential,Nashville,2021-06-23,Organic,1
291,Customer 0291,Residential,Franklin,2021-08-17,Referral,0
292,Customer 0292,Residential,Franklin,2024-06-02,Home Services Marketplace,1
293,Customer 0293,Residential,Nashville,2020-08-31,Referral,0
294,Customer 0294,Residential,Spring Hill,2023-09-12,Referral,1
295,Customer 0295,Residential,Nolensville,2020-11-19,Google,0
296,Customer 0296,Residential,Franklin,2022-11-17,Direct Mail,0
297,Customer 0297,Residential,Brentwood,2024-06-19,Home Services Marketplace,0
298,Customer 0298,Residential,Nashville,2020-10-31,Referral,0
299,Customer 0299,Residential,Nashville,2021-10-29,Referral,0
300,Customer 0300,Residential,Brentwood,2021-03-31,Direct Mail,0
301,Customer 0301,Commercial,Franklin,2024-09-08,Direct Mail,0
302,Customer 0302,Residential,Brentwood,2021-09-26,Referral,1
303,Customer 0303,Residential,Nashville,2024-05-15,Referral,0
304,Customer 0304,Residential,Franklin,2023-06-01,Referral,0
305,Customer 0305,Residential,Nolensville,2020-09-03,Home Services Marketplace,0
306,Customer 0306,Residential,Brentwood,2024-10-30,Organic,0
307,Customer 0307,Residential,Brentwood,2024-10-24,Google,0
308,Customer 0308,Residential,Brentwood,2023-01-27,Referral,0
309,Customer 0309,Residential,Nashville,2021-04-16,Referral,1
310,Customer 0310,Residential,Nashville,2024-10-21,Google,1
311,Customer 0311,Residential,Franklin,2022-06-07,Referral,0
312,Customer 0312,Residential,Franklin,2020-08-15,Direct Mail,0
313,Customer 0313,Commercial,Brentwood,2024-02-08,Google,1
314,Customer 0314,Residential,Brentwood,2023-06-14,Referral,0
315,Customer 0315,Residential,Franklin,2022-08-27,Google,0
316,Customer 0316,Residential,Nolensville,2022-07-26,Google,0
317,Customer 0317,Residential,Brentwood,2022-01-08,Organic,0
318,Customer 0318,Residential,Nashville,2021-08-13,Google,0
319,Customer 0319,Commercial,Nashville,2020-09-03,Google,1
320,Customer 0320,Residential,Nashville,2024-12-07,Referral,0
321,Customer 0321,Residential,Franklin,2021-12-28,Organic,0
322,Customer 0322,Residential,Franklin,2022-12-28,Google,0
323,Customer 0323,Residential,Spring Hill,2024-11-14,Referral,0
324,Customer 0324,Residential,Nashville,2022-07-27,Referral,0
325,Customer 0325,Residential,Brentwood,2024-05-01,Referral,0
326,Customer 0326,Residential,Spring Hill,2021-07-06,Referral,0
327,Customer 0327,Residential,Brentwood,2022-07-12,Home Services Marketplace,0
328,Customer 0328,Residential,Nashville,2022-01-14,Google,0
329,Customer 0329,Residential,Spring Hill,2023-09-26,Google,0
330,Customer 0330,Residential,Nashville,2024-05-03,Referral,1
331,Customer 0331,Residential,Nashville,2023-01-03,Organic,0
332,Customer 0332,Residential,Nolensville,2023-08-27,Google,1
333,Customer 0333,Residential,Nashville,2024-02-13,Organic,0
334,Customer 0334,Residential,Brentwood,2020-08-23,Organic,0
335,Customer 0335,Residential,Franklin,2021-09-23,Referral,1
336,Customer 0336,Residential,Spring Hill,2021-05-31,Direct Mail,0
337,Customer 0337,Commercial,Nashville,2023-03-16,Google,1
338,Customer 0338,Residential,Nashville,2023-04-12,Home Services Marketplace,0
339,Customer 0339,Residential,Brentwood,2024-07-24,Google,1
340,Customer 0340,Residential,Franklin,2023-05-15,Google,0
341,Customer 0341,Residential,Spring Hill,2021-07-12,Organic,1
342,Customer 0342,Residential,Franklin,2020-10-31,Home Services Marketplace,0
343,Customer 0343,Residential,Franklin,2021-04-28,Google,0
344,Customer 0344,Residential,Brentwood,2024-08-18,Referral,0
345,Customer 0345,Residential,Nolensville,2020-12-21,Google,0
346,Customer 0346,Residential,Brentwood,2021-01-03,Referral,0
347,Customer 0347,Residential,Franklin,2024-02-01,Referral,0
348,Customer 0348,Residential,Spring Hill,2020-08-19,Google,1
349,Customer 0349,Residential,Brentwood,2021-05-07,Google,0
350,Customer 0350,Residential,Nashville,2022-10-23,Google,1
351,Customer 0351,Residential,Brentwood,2021-08-06,Home Services Marketplace,0
352,Customer 0352,Residential,Nashville,2024-03-08,Direct Mail,1
353,Customer 0353,Residential,Nashville,2021-04-06,Referral,0
354,Customer 0354,Commercial,Brentwood,2023-03-29,Referral,0
355,Customer 0355,Residential,Brentwood,2024-04-05,Organic,0
356,Customer 0356,Residential,Nolensville,2021-02-18,Direct Mail,0
357,Customer 0357,Residential,Nashville,2022-02-15,Referral,0
358,Customer 0358,Residential,Franklin,2023-10-11,Referral,0
359,Customer 0359,Residential,Nolensville,2024-03-16,Google,0
360,Customer 0360,Residential,Nashville,2022-02-17,Home Services Marketplace,0
361,Customer 0361,Commercial,Nolensville,2024-10-06,Organic,0
362,Customer 0362,Residential,Spring Hill,2021-08-17,Referral,1
363,Customer 0363,Residential,Nashville,2020-08-26,Organic,1
364,Customer 0364,Residential,Spring Hill,2024-09-24,Referral,1
365,Customer 0365,Residential,Brentwood,2022-06-27,Organic,0
366,Customer 0366,Residential,Nolensville,2023-08-31,Referral,0
367,Customer 0367,Residential,Nashville,2022-05-07,Direct Mail,0
368,Customer 0368,Residential,Nashville,2021-10-11,Direct Mail,0
369,Customer 0369,Residential,Franklin,2022-11-01,Referral,0
370,Customer 0370,Residential,Franklin,2023-11-10,Home Services Marketplace,0
371,Customer 0371,Residential,Nashville,2021-05-19,Referral,0
372,Customer 0372,Commercial,Franklin,2020-12-27,Home Services Marketplace,1
373,Customer 0373,Residential,Spring Hill,2020-09-12,Google,0
374,Customer 0374,Residential,Franklin,2022-07-11,Google,0
375,Customer 0375,Residential,Spring Hill,2023-01-07,Direct Mail,1
376,Customer 0376,Residential,Franklin,2022-11-18,Google,1
377,Customer 0377,Residential,Spring Hill,2024-10-26,Google,0
378,Customer 0378,Residential,Nashville,2023-02-05,Home Services Marketplace,0
379,Customer 0379,Residential,Nashville,2022-04-30,Organic,0
380,Customer 0380,Residential,Nashville,2022-06-18,Organic,0
381,Customer 0381,Residential,Spring Hill,2023-10-08,Home Services Marketplace,0
382,Customer 0382,Residential,Franklin,2022-01-07,Referral,0
383,Customer 0383,Residential,Nolensville,2024-04-17,Google,0
384,Customer 0384,Residential,Franklin,2022-05-31,Google,0
385,Customer 0385,Residential,Nolensville,2021-12-21,Google,0
386,Customer 0386,Residential,Franklin,2024-03-03,Google,0
387,Customer 0387,Residential,Nashville,2021-10-11,Referral,0
388,Customer 0388,Residential,Brentwood,2022-12-15,Google,0
389,Customer 0389,Residential,Franklin,2022-02-17,Referral,1
390,Customer 0390,Residential,Franklin,2021-05-31,Referral,0
391,Customer 0391,Residential,Franklin,2022-12-22,Home Services Marketplace,0
392,Customer 0392,Residential,Franklin,2021-06-15,Google,1
393,Customer 0393,Residential,Brentwood,2024-03-24,Google,0
394,Customer 0394,Residential,Franklin,2023-12-30,Home Services Marketplace,0
395,Customer 0395,Commercial,Brentwood,2022-04-17,Organic,1
396,Customer 0396,Residential,Nolensville,2020-08-16,Direct Mail,0
397,Customer 0397,Residential,Nashville,2023-11-10,Home Services Marketplace,0
398,Customer 0398,Residential,Nashville,2022-09-29,Direct Mail,1
399,Customer 0399,Residential,Franklin,2020-10-02,Organic,0
400,Customer 0400,Residential,Nashville,2024-09-16,Home Services Marketplace,0
401,Customer 0401,Residential,Nashville,2022-11-30,Referral,1
402,Customer 0402,Residential,Franklin,2022-10-23,Google,0
403,Customer 0403,Residential,Nashville,2022-12-01,Direct Mail,0
404,Customer 0404,Residential,Franklin,2020-11-24,Referral,1
405,Customer 0405,Commercial,Franklin,2023-12-19,Referral,0
406,Customer 0406,Residential,Nashville,2021-04-09,Google,0
407,Customer 0407,Residential,Franklin,2024-01-16,Organic,1
408,Customer 0408,Residential,Franklin,2022-12-31,Organic,0
409,Customer 0409,Residential,Franklin,2024-08-27,Google,1
410,Customer 0410,Residential,Brentwood,2020-10-09,Organic,0
411,Customer 0411,Residential,Spring Hill,2021-07-27,Organic,0
412,Customer 0412,Residential,Franklin,2023-08-27,Home Services Marketplace,0
413,Customer 0413,Residential,Franklin,2021-10-18,Google,1
414,Customer 0414,Residential,Nashville,2022-11-24,Referral,0
415,Customer 0415,Residential,Nolensville,2022-01-03,Referral,1
416,Customer 0416,Residential,Nashville,2024-05-04,Google,1
417,Customer 0417,Residential,Nashville,2021-10-29,Google,1
418,Customer 0418,Residential,Nolensville,2023-10-10,Direct Mail,0
419,Customer 0419,Commercial,Nashville,2022-03-23,Google,1
420,Customer 0420,Residential,Nashville,2024-01-04,Home Services Marketplace,0
421,Customer 0421,Residential,Franklin,2021-02-25,Direct Mail,0
422,Customer 0422,Residential,Spring Hill,2020-12-30,Google,1
423,Customer 0423,Commercial,Franklin,2024-02-04,Organic,1
424,Customer 0424,Residential,Spring Hill,2022-12-13,Referral,1
425,Customer 0425,Residential,Nashville,2024-03-13,Google,0
426,Customer 0426,Residential,Franklin,2021-10-07,Referral,0
427,Customer 0427,Residential,Nolensville,2021-07-18,Home Services Marketplace,1
428,Customer 0428,Residential,Nashville,2020-12-15,Organic,0
