membership_id,customer_id,start_date,annual_value,renewed_flag,status
307,964,2024-09-29,229,0,Expired
308,968,2024-11-03,229,1,Active
309,970,2024-06-20,229,0,Expired
310,971,2024-02-15,279,1,Active
311,972,2024-01-26,279,1,Active
312,973,2024-10-28,189,1,Active
313,980,2024-02-24,189,1,Active
314,985,2024-09-30,189,1,Active
315,988,2024-12-01,279,0,Expired
316,994,2024-02-29,229,0,Expired
317,998,2023-10-26,229,1,Active
318,1000,2024-07-30,189,0,Expired
319,1001,2023-12-24,189,1,Active
320,1003,2024-08-30,229,1,Active
321,1004,2024-01-17,279,1,Active
322,1016,2023-10-31,189,1,Active
323,1019,2023-08-23,189,1,Active
324,1026,2024-03-25,229,0,Expired
325,1040,2024-04-07,229,1,Active
326,1041,2024-08-13,189,0,Expired
327,1045,2024-10-25,229,1,Active
328,1047,2023-09-06,279,1,Active
329,1050,2024-03-18,279,1,Active
330,1052,2024-11-15,229,1,Active
331,1053,2024-05-11,229,1,Active
332,1054,2023-11-25,229,1,Active
333,1055,2024-11-18,229,1,Active
334,1058,2024-12-01,189,1,Active
335,1063,2024-02-21,229,1,Active
336,1069,2024-11-06,189,1,Active
337,1081,2024-05-23,189,1,Active
338,1091,2024-06-14,279,1,Active
339,1093,2024-06-25,189,0,Expired
340,1094,2024-05-14,279,1,Active
341,1097,2023-10-22,229,1,Active
342,1100,2024-09-25,279,1,Active
343,1101,2024-07-08,189,0,Expired
344,1105,2023-12-01,189,1,Active
345,1107,2024-01-10,229,0,Expired
346,1110,2023-10-24,279,1,Active
347,1111,2024-07-03,279,1,Active
348,1116,2024-11-05,189,0,Expired
349,1117,2023-08-31,229,0,Expired
350,1119,2024-07-17,189,0,Expired
351,1122,2023-12-23,279,1,Active
352,1124,2023-09-15,229,1,Active
353,1133,2024-04-04,229,1,Active
354,1139,2024-03-18,189,0,Expired
355,1151,2024-09-03,229,1,Active
356,1153,2024-05-01,189,1,Active
357,1154,2024-05-26,279,1,Active
358,1156,2024-12-01,229,0,Expired
359,1157,2023-10-04,189,1,Active
360,1158,2024-11-25,189,1,Active
361,1161,2024-07-30,279,1,Active
362,1164,2024-05-09,189,1,Active
363,1165,2023-10-17,279,1,Active
364,1170,2023-12-29,229,1,Active
365,1173,2024-01-13,229,1,Active
366,1179,2023-09-07,229,1,Active
367,1180,2024-11-05,279,0,Expired
368,1182,2024-10-27,229,1,Active
369,1183,2024-09-03,229,1,Active
370,1184,2024-07-19,229,1,Active
371,1185,2024-02-02,229,1,Active
372,1189,2024-01-07,279,1,Active
373,1196,2024-08-18,189,1,Active
374,1197,2024-03-10,189,0,Expired
375,1199,2024-02-06,279,1,Active
376,1205,2023-11-04,279,1,Active
377,1206,2023-12-21,229,1,Active
378,1209,2023-11-15,279,1,Active
379,1215,2023-11-11,279,1,Active
380,1220,2024-05-05,229,1,Active
381,1221,2023-09-28,279,0,Expired
382,1222,2024-09-27,189,1,Active
383,1225,2024-07-24,279,0,Expired
384,1230,2023-08-23,279,1,Active
385,1231,2024-03-18,229,1,Active
386,1233,2024-11-15,279,0,Expired
387,1235,2023-11-20,279,1,Active
388,1236,2023-09-04,229,1,Active
389,1237,2023-10-13,229,1,Active
390,1239,2024-11-25,229,1,Active
391,1240,2024-02-01,279,0,Expired
392,1244,2023-10-20,279,0,Expired
393,1246,2024-08-18,189,1,Active
394,1248,2023-10-08,229,1,Active
395,1251,2023-11-02,229,1,Active
396,1252,2024-07-04,189,1,Active
397,1253,2024-09-28,189,1,Active
398,1255,2023-11-17,189,1,Active
399,1261,2024-02-04,229,1,Active
400,1267,2023-09-02,229,1,Active
401,1275,2024-10-12,189,1,Active
402,1277,2024-10-12,189,0,Expired
403,1278,2023-12-01,279,1,Active
404,1297,2024-02-07,279,0,Expired
405,1298,2023-09-09,279,0,Expired
406,1301,2023-10-17,279,0,Expired
407,1304,2024-10-25,279,1,Active
408,1309,2023-09-16,189,1,Active
409,1314,2024-06-17,279,1,Active
410,1315,2024-07-08,279,1,Active
411,1318,2024-06-12,189,1,Active
412,1323,2024-07-27,189,1,Active
413,1329,2024-11-30,279,1,Active
414,1330,2024-10-26,189,1,Active
415,1337,2023-12-18,229,0,Expired
416,1341,2024-04-23,279,1,Active
417,1350,2023-12-11,189,1,Active
418,1353,2024-09-23,189,1,Active
419,1354,2024-11-27,279,0,Expired
420,1356,2024-03-06,279,0,Expired
421,1360,2024-10-17,229,1,Active
422,1364,2024-03-23,229,0,Expired
423,1367,2024-09-05,279,1,Active
424,1368,2024-09-11,229,0,Expired
425,1369,2024-05-13,279,1,Active
426,1371,2024-04-10,279,1,Active
427,1376,2024-03-19,279,1,Active
428,1382,2024-10-24,189,1,Active
429,1386,2023-09-26,279,1,Active
430,1388,2023-11-02,279,1,Active
431,1390,2024-03-08,189,1,Active
432,1393,2023-08-25,189,1,Active
433,1394,2024-08-20,229,1,Active
434,1396,2024-11-01,279,1,Active
435,1402,2024-06-27,279,1,Active
436,1405,2024-03-30,189,1,Active
437,1406,2024-06-17,279,1,Active
438,1408,2024-02-27,229,1,Active
439,1415,2024-10-29,229,0,Expired
440,1427,2024-03-10,189,1,Active
441,1428,2024-05-20,279,1,Active
442,1433,2024-10-24,279,1,Active
443,1434,2024-08-22,279,1,Active
444,1435,2024-02-21,229,0,Expired
445,1437,2024-02-12,279,1,Active
446,1441,2024-09-05,229,0,Expired
447,1442,2024-06-29,229,0,Expired
448,1443,2023-11-16,279,1,Active
449,1444,2024-01-31,279,0,Expired
450,1445,2023-09-14,229,1,Active
451,1450,2024-05-16,189,1,Active
