estimate_id,customer_id,service_id,estimate_date,quoted_revenue,estimate_status,won_date,lead_source
145,1203,4,2025-01-04,3476.81,Lost,,Google
146,97,5,2025-01-03,222.72,Won,2025-01-06,Google
147,1239,1,2024-12-31,586.57,Won,2025-01-06,Referral
148,356,4,2024-12-28,3267.73,Won,2025-01-06,Direct Mail
149,254,2,2025-01-06,542.71,Lost,,Google
150,874,6,2025-01-02,2181.32,Won,2025-01-06,Referral
151,343,5,2025-01-01,193.1,Won,2025-01-06,Google
152,1087,1,2024-12-31,881.53,Won,2025-01-06,Direct Mail
153,96,1,2024-12-30,607.27,Open,,Google
154,1050,5,2024-12-26,180.18,Won,2025-01-06,Referral
155,1349,1,2025-01-01,586.66,Open,,Organic
156,1269,1,2024-12-26,389.0,Won,2025-01-06,Referral
157,841,5,2025-01-06,201.55,Won,2025-01-06,Referral
158,1360,6,2025-01-03,1287.71,Won,2025-01-06,Organic
159,340,5,2025-01-03,167.47,Won,2025-01-06,Google
160,1046,1,2024-12-29,557.17,Open,,Home Services Marketplace
161,430,6,2025-01-03,1178.1,Won,2025-01-06,Referral
162,514,4,2025-01-05,2917.08,Open,,Google
163,97,3,2025-01-04,13683.48,Open,,Google
164,1431,5,2024-12-30,271.55,Lost,,Google
165,694,4,2024-12-29,2230.19,Lost,,Google
166,529,2,2025-01-07,601.79,Won,2025-01-07,Google
167,356,5,2024-12-29,150.95,Won,2025-01-07,Direct Mail
168,563,5,2025-01-07,295.63,Won,2025-01-07,Direct Mail
169,1212,1,2025-01-05,475.16,Won,2025-01-07,Home Services Marketplace
170,202,3,2025-01-06,10868.53,Won,2025-01-07,Google
171,409,7,2025-01-06,1132.99,Won,2025-01-07,Google
172,1409,2,2025-01-06,460.92,Won,2025-01-07,Referral
173,825,2,2025-01-06,647.31,Won,2025-01-07,Google
174,470,1,2025-01-02,669.63,Won,2025-01-07,Google
175,1263,7,2024-12-27,890.6,Won,2025-01-07,Google
176,90,5,2024-12-29,230.95,Won,2025-01-07,Google
177,840,2,2025-01-06,491.14,Won,2025-01-07,Organic
178,352,5,2025-01-01,178.64,Won,2025-01-07,Direct Mail
179,820,2,2024-12-27,602.9,Won,2025-01-07,Direct Mail
180,462,5,2024-12-27,297.8,Open,,Referral
181,18,5,2024-12-31,186.94,Won,2025-01-07,Home Services Marketplace
182,15,1,2024-12-31,544.96,Won,2025-01-07,Organic
183,1235,1,2025-01-07,510.43,Open,,Referral
184,1274,5,2024-12-28,180.32,Won,2025-01-07,Direct Mail
185,1038,2,2025-01-04,604.37,Won,2025-01-07,Referral
186,956,2,2025-01-04,477.71,Won,2025-01-07,Home Services Marketplace
187,1014,1,2024-12-28,367.83,Won,2025-01-07,Google
188,811,5,2025-01-04,188.2,Won,2025-01-07,Organic
189,1000,3,2025-01-05,7049.72,Open,,Google
190,1352,5,2024-12-31,166.23,Won,2025-01-07,Direct Mail
191,536,1,2025-01-03,695.56,Won,2025-01-07,Referral
192,569,1,2024-12-30,679.96,Won,2025-01-07,Google
193,1160,5,2024-12-27,309.25,Won,2025-01-08,Google
194,223,4,2025-01-06,2067.46,Open,,Google
195,1063,2,2024-12-31,407.13,Won,2025-01-08,Home Services Marketplace
196,683,5,2024-12-29,149.32,Open,,Home Services Marketplace
197,742,3,2025-01-01,9462.75,Open,,Organic
198,731,7,2024-12-28,1320.31,Lost,,Google
199,466,1,2025-01-06,1031.13,Lost,,Google
200,445,2,2024-12-30,422.07,Won,2025-01-08,Referral
201,855,5,2024-12-27,370.86,Open,,Home Services Marketplace
202,567,1,2025-01-02,525.7,Open,,Referral
203,88,6,2025-01-05,2263.83,Won,2025-01-08,Google
204,65,6,2025-01-07,887.01,Won,2025-01-08,Google
205,1220,3,2025-01-05,7744.96,Lost,,Google
206,403,6,2025-01-03,1019.14,Won,2025-01-08,Direct Mail
207,686,1,2025-01-05,584.19,Won,2025-01-08,Home Services Marketplace
208,1167,1,2024-12-28,391.46,Won,2025-01-08,Google
209,357,5,2025-01-04,148.56,Won,2025-01-08,Referral
210,307,3,2025-01-01,10677.48,Won,2025-01-08,Google
211,509,6,2024-12-31,1364.26,Won,2025-01-08,Home Services Marketplace
212,134,1,2025-01-05,433.19,Lost,,Google
213,1039,1,2024-12-29,697.94,Lost,,Home Services Marketplace
214,1236,6,2024-12-30,1321.88,Lost,,Home Services Marketplace
215,1175,3,2025-01-02,8758.0,Lost,,Referral
216,747,5,2024-12-29,180.24,Lost,,Referral
217,1129,5,2025-01-02,148.33,Won,2025-01-09,Referral
218,1029,1,2025-01-04,949.52,Open,,Organic
219,1167,4,2025-01-07,3458.61,Lost,,Google
220,363,1,2024-12-29,448.92,Won,2025-01-09,Organic
221,220,1,2024-12-30,691.86,Won,2025-01-09,Referral
222,85,2,2025-01-03,597.47,Won,2025-01-09,Referral
223,1344,5,2025-01-01,165.4,Won,2025-01-09,Home Services Marketplace
224,471,5,2025-01-05,217.06,Won,2025-01-09,Google
225,450,2,2024-12-30,459.88,Won,2025-01-09,Home Services Marketplace
226,1220,1,2025-01-03,454.02,Won,2025-01-09,Google
227,103,5,2025-01-01,184.14,Won,2025-01-09,Organic
228,1023,4,2025-01-09,1923.58,Won,2025-01-10,Referral
229,1223,2,2025-01-02,729.15,Lost,,Referral
230,598,5,2025-01-10,260.44,Won,2025-01-10,Home Services Marketplace
231,612,4,2025-01-04,2313.24,Open,,Google
232,748,1,2025-01-04,529.13,Won,2025-01-10,Google
233,765,1,2024-12-31,459.48,Won,2025-01-10,Google
234,1255,5,2024-12-30,164.4,Won,2025-01-10,Referral
235,101,1,2024-12-31,476.86,Won,2025-01-10,Organic
236,136,2,2025-01-05,1044.77,Won,2025-01-10,Google
237,1436,1,2025-01-02,385.28,Won,2025-01-10,Google
238,230,1,2025-01-04,462.65,Won,2025-01-10,Organic
239,787,4,2025-01-10,4813.0,Won,2025-01-10,Google
240,345,1,2025-01-04,324.25,Won,2025-01-10,Google
241,1398,5,2024-12-29,146.32,Won,2025-01-10,Google
242,281,5,2025-01-02,178.92,Won,2025-01-10,Organic
243,1089,2,2025-01-06,487.85,Won,2025-01-10,Google
244,532,1,2024-12-31,401.88,Won,2025-01-10,Direct Mail
245,1450,6,2025-01-05,1251.63,Won,2025-01-10,Home Services Marketplace
246,942,1,2025-01-03,540.5,Won,2025-01-10,Google
247,638,1,2025-01-06,417.09,Won,2025-01-10,Google
248,1316,6,2025-01-07,924.34,Open,,Referral
249,1396,2,2025-01-03,467.55,Won,2025-01-10,Home Services Marketplace
250,1287,5,2025-01-05,183.18,Won,2025-01-10,Google
251,618,5,2024-12-31,203.08,Won,2025-01-10,Google
252,631,5,2025-01-07,162.94,Won,2025-01-10,Organic
253,1036,1,2024-12-29,592.01,Open,,Home Services Marketplace
254,949,3,2025-01-10,8500.99,Won,2025-01-11,Direct Mail
255,881,2,2025-01-10,504.65,Won,2025-01-11,Organic
256,1283,6,2025-01-06,1302.12,Won,2025-01-11,Referral
257,680,4,2025-01-05,2411.39,Won,2025-01-11,Home Services Marketplace
258,222,1,2025-01-01,512.4,Won,2025-01-11,Home Services Marketplace
259,1416,1,2025-01-10,417.03,Won,2025-01-11,Referral
260,271,3,2025-01-01,8191.56,Won,2025-01-11,Google
261,1272,7,2024-12-31,2091.73,Open,,Referral
262,420,2,2025-01-02,406.81,Won,2025-01-11,Home Services Marketplace
263,1106,1,2025-01-09,510.37,Won,2025-01-11,Google
264,855,1,2024-12-30,895.94,Won,2025-01-11,Home Services Marketplace
265,60,1,2025-01-07,428.4,Won,2025-01-11,Direct Mail
266,86,3,2025-01-11,10259.16,Won,2025-01-11,Organic
267,1450,1,2025-01-08,448.6,Open,,Home Services Marketplace
268,1003,5,2024-12-30,225.5,Won,2025-01-11,Home Services Marketplace
269,1038,7,2025-01-06,1196.57,Won,2025-01-11,Referral
270,743,3,2025-01-09,12692.26,Open,,Google
271,742,5,2025-01-01,173.86,Won,2025-01-11,Organic
272,1045,5,2025-01-09,180.31,Won,2025-01-11,Home Services Marketplace
273,715,1,2025-01-03,316.11,Won,2025-01-11,Organic
274,373,1,2025-01-09,410.0,Won,2025-01-11,Google
275,663,5,2025-01-03,173.64,Open,,Direct Mail
276,1323,3,2025-01-10,21094.42,Won,2025-01-11,Google
277,975,1,2025-01-03,423.7,Won,2025-01-11,Referral
278,602,6,2025-01-03,1347.19,Won,2025-01-11,Organic
279,579,1,2025-01-02,528.27,Won,2025-01-11,Google
280,419,2,2025-01-07,731.45,Won,2025-01-12,Google
281,858,1,2025-01-04,554.74,Won,2025-01-12,Organic
282,1107,1,2025-01-05,377.61,Won,2025-01-12,Home Services Marketplace
283,600,4,2025-01-06,1905.05,Won,2025-01-12,Organic
284,399,6,2025-01-03,1128.71,Won,2025-01-12,Organic
285,308,3,2025-01-06,8814.65,Lost,,Referral
286,440,5,2025-01-01,178.58,Won,2025-01-12,Google
287,979,6,2025-01-07,1226.72,Won,2025-01-12,Referral
288,1324,1,2025-01-10,514.08,Won,2025-01-12,Google
289,625,5,2025-01-02,157.64,Won,2025-01-12,Home Services Marketplace
290,469,3,2025-01-04,11345.64,Won,2025-01-12,Referral
291,96,1,2025-01-11,669.89,Won,2025-01-12,Google
292,2,6,2025-01-11,726.58,Open,,Home Services Marketplace
293,591,4,2025-01-07,2114.15,Open,,Organic
294,226,2,2025-01-04,723.42,Won,2025-01-12,Google
295,53,5,2025-01-07,193.06,Won,2025-01-12,Referral
296,192,6,2025-01-06,1331.4,Won,2025-01-12,Google
297,1108,1,2025-01-02,469.54,Won,2025-01-12,Organic
298,126,1,2025-01-11,475.01,Won,2025-01-12,Home Services Marketplace
299,926,1,2025-01-10,792.97,Won,2025-01-12,Organic
300,72,1,2025-01-04,412.73,Won,2025-01-12,Referral
301,1251,2,2025-01-04,519.47,Won,2025-01-12,Organic
302,396,1,2025-01-12,362.15,Won,2025-01-12,Direct Mail
303,1095,6,2025-01-10,2619.27,Won,2025-01-13,Referral
304,264,1,2025-01-04,435.9,Won,2025-01-13,Google
305,1450,4,2025-01-08,2243.23,Lost,,Home Services Marketplace
306,399,6,2025-01-05,1308.76,Won,2025-01-13,Organic
307,256,1,2025-01-03,510.75,Won,2025-01-13,Home Services Marketplace
308,179,6,2025-01-03,1766.58,Open,,Organic
309,108,1,2025-01-07,421.38,Open,,Organic
310,672,1,2025-01-05,475.32,Won,2025-01-13,Google
311,769,5,2025-01-04,260.61,Won,2025-01-13,Google
312,754,5,2025-01-02,228.72,Won,2025-01-13,Google
313,903,7,2025-01-05,1056.62,Won,2025-01-13,Referral
314,419,1,2025-01-07,1042.31,Won,2025-01-13,Google
315,276,1,2025-01-09,692.29,Won,2025-01-13,Google
316,416,5,2025-01-02,173.64,Won,2025-01-13,Google
317,897,1,2025-01-08,419.08,Won,2025-01-13,Organic
318,1246,1,2025-01-09,543.3,Won,2025-01-13,Google
319,438,5,2025-01-05,317.72,Won,2025-01-13,Google
320,451,3,2025-01-09,13891.34,Won,2025-01-13,Home Services Marketplace
321,948,1,2025-01-03,505.14,Won,2025-01-13,Organic
322,585,2,2025-01-02,531.71,Won,2025-01-13,Organic
323,448,6,2025-01-04,1463.66,Lost,,Google
324,276,5,2025-01-02,198.81,Won,2025-01-13,Google
325,1295,5,2025-01-06,160.41,Won,2025-01-13,Organic
326,1185,4,2025-01-07,3442.43,Won,2025-01-13,Google
327,689,1,2025-01-08,947.06,Won,2025-01-13,Referral
328,843,7,2025-01-09,1344.22,Lost,,Referral
329,33,1,2025-01-01,498.11,Open,,Google
330,1250,5,2025-01-14,138.89,Lost,,Organic
331,318,4,2025-01-07,2642.16,Won,2025-01-14,Google
332,740,5,2025-01-14,190.7,Won,2025-01-14,Home Services Marketplace
333,1349,1,2025-01-02,376.18,Open,,Organic
334,726,5,2025-01-14,175.26,Won,2025-01-14,Referral
335,847,1,2025-01-02,984.58,Won,2025-01-14,Direct Mail
336,688,2,2025-01-09,379.14,Won,2025-01-14,Referral
337,25,4,2025-01-07,2332.62,Lost,,Google
338,559,6,2025-01-14,977.06,Won,2025-01-14,Home Services Marketplace
339,173,6,2025-01-11,1665.28,Won,2025-01-14,Google
340,500,2,2025-01-02,770.75,Won,2025-01-14,Direct Mail
341,501,1,2025-01-04,414.12,Won,2025-01-14,Google
342,642,7,2025-01-12,1513.09,Won,2025-01-14,Direct Mail
343,798,5,2025-01-06,206.05,Won,2025-01-14,Referral
344,91,3,2025-01-07,10717.39,Open,,Home Services Marketplace
345,1211,3,2025-01-03,9027.05,Won,2025-01-14,Home Services Marketplace
346,1262,3,2025-01-05,14723.93,Lost,,Google
347,1104,3,2025-01-12,8803.33,Lost,,Google
348,549,1,2025-01-12,500.68,Won,2025-01-14,Home Services Marketplace
349,1209,5,2025-01-05,242.88,Won,2025-01-14,Direct Mail
350,1053,5,2025-01-10,192.66,Won,2025-01-14,Referral
351,1337,2,2025-01-07,423.91,Won,2025-01-14,Referral
352,1111,1,2025-01-10,601.56,Won,2025-01-14,Google
353,909,2,2025-01-10,613.77,Won,2025-01-14,Home Services Marketplace
354,605,1,2025-01-04,1026.24,Won,2025-01-14,Google
355,1309,7,2025-01-14,899.72,Won,2025-01-14,Direct Mail
356,1130,1,2025-01-09,592.09,Won,2025-01-14,Direct Mail
357,729,5,2025-01-06,199.43,Lost,,Referral
358,481,5,2025-01-09,206.07,Lost,,Home Services Marketplace
359,662,7,2025-01-03,1741.47,Won,2025-01-15,Referral
360,710,3,2025-01-07,9313.41,Lost,,Google
361,387,6,2025-01-15,988.74,Won,2025-01-15,Referral
362,1369,2,2025-01-09,527.05,Won,2025-01-15,Organic
363,916,5,2025-01-12,218.11,Open,,Direct Mail
364,81,5,2025-01-05,195.51,Won,2025-01-15,Google
365,763,5,2025-01-10,162.86,Won,2025-01-15,Google
366,509,1,2025-01-12,672.36,Won,2025-01-15,Home Services Marketplace
367,1264,5,2025-01-07,235.63,Won,2025-01-15,Direct Mail
368,779,2,2025-01-10,967.51,Open,,Home Services Marketplace
369,1350,3,2025-01-09,12171.47,Won,2025-01-15,Home Services Marketplace
370,1221,2,2025-01-08,661.88,Won,2025-01-15,Referral
371,333,5,2025-01-08,187.64,Won,2025-01-15,Organic
372,483,5,2025-01-13,186.43,Won,2025-01-15,Google
373,789,4,2025-01-06,2363.51,Lost,,Home Services Marketplace
374,1040,5,2025-01-03,165.87,Won,2025-01-15,Google
375,50,1,2025-01-10,632.69,Won,2025-01-15,Organic
376,98,6,2025-01-06,1331.39,Won,2025-01-15,Referral
377,238,5,2025-01-11,182.07,Won,2025-01-15,Referral
378,1066,1,2025-01-06,389.0,Won,2025-01-15,Referral
379,1394,6,2025-01-14,1020.63,Won,2025-01-16,Google
380,194,5,2025-01-08,153.53,Won,2025-01-16,Organic
381,760,6,2025-01-05,1253.91,Won,2025-01-16,Referral
382,610,1,2025-01-07,759.16,Open,,Google
383,968,3,2025-01-16,8570.25,Lost,,Organic
384,141,2,2025-01-16,543.85,Won,2025-01-16,Google
385,747,1,2025-01-07,401.13,Won,2025-01-16,Referral
386,1107,4,2025-01-08,2580.75,Won,2025-01-16,Home Services Marketplace
387,525,1,2025-01-11,428.19,Lost,,Google
388,1405,1,2025-01-04,475.73,Won,2025-01-16,Google
389,499,2,2025-01-04,381.3,Won,2025-01-16,Direct Mail
390,520,3,2025-01-09,7045.73,Won,2025-01-16,Organic
391,1449,5,2025-01-12,210.6,Won,2025-01-16,Google
392,193,5,2025-01-10,168.23,Won,2025-01-16,Home Services Marketplace
393,361,5,2025-01-12,300.58,Won,2025-01-16,Organic
394,595,6,2025-01-08,1328.59,Won,2025-01-16,Google
395,889,5,2025-01-15,226.8,Won,2025-01-16,Home Services Marketplace
396,1290,5,2025-01-09,194.25,Won,2025-01-16,Google
397,313,5,2025-01-09,333.28,Won,2025-01-16,Google
398,174,2,2025-01-06,400.7,Won,2025-01-16,Google
399,433,6,2025-01-04,1821.28,Won,2025-01-16,Google
400,89,3,2025-01-15,12029.26,Won,2025-01-16,Home Services Marketplace
401,1019,2,2025-01-10,578.18,Won,2025-01-16,Organic
402,246,1,2025-01-13,445.66,Open,,Referral
403,331,2,2025-01-05,496.43,Open,,Organic
404,55,3,2025-01-09,13846.91,Lost,,Direct Mail
405,1318,3,2025-01-07,11547.67,Won,2025-01-17,Referral
406,67,3,2025-01-13,11719.25,Won,2025-01-17,Google
407,987,5,2025-01-07,328.69,Won,2025-01-17,Google
408,233,6,2025-01-11,1326.12,Won,2025-01-17,Google
409,106,3,2025-01-11,9055.36,Won,2025-01-17,Organic
410,89,2,2025-01-16,479.63,Lost,,Home Services Marketplace
411,746,1,2025-01-08,594.62,Open,,Direct Mail
412,193,1,2025-01-06,641.49,Won,2025-01-17,Home Services Marketplace
413,669,2,2025-01-12,709.61,Won,2025-01-17,Home Services Marketplace
414,658,1,2025-01-06,503.08,Won,2025-01-17,Organic
415,1385,7,2025-01-17,1585.04,Won,2025-01-17,Home Services Marketplace
416,419,1,2025-01-17,973.9,Won,2025-01-17,Google
417,75,1,2025-01-08,322.14,Lost,,Organic
418,544,5,2025-01-17,204.09,Won,2025-01-17,Referral
419,1359,3,2025-01-11,8531.84,Won,2025-01-17,Google
420,379,6,2025-01-09,916.8,Won,2025-01-17,Organic
421,1215,3,2025-01-06,20350.22,Won,2025-01-17,Referral
422,266,5,2025-01-06,110.42,Open,,Google
423,420,2,2025-01-15,507.49,Won,2025-01-17,Home Services Marketplace
424,141,5,2025-01-10,184.07,Won,2025-01-17,Google
425,33,6,2025-01-09,1052.4,Open,,Google
426,958,2,2025-01-15,770.75,Won,2025-01-17,Google
427,450,2,2025-01-13,476.64,Won,2025-01-18,Home Services Marketplace
428,574,5,2025-01-09,153.58,Won,2025-01-18,Organic
429,669,2,2025-01-13,560.36,Won,2025-01-18,Home Services Marketplace
430,511,1,2025-01-16,579.72,Lost,,Google
431,514,5,2025-01-16,187.51,Open,,Google
432,297,2,2025-01-13,554.87,Open,,Home Services Marketplace
433,1431,5,2025-01-09,293.54,Won,2025-01-18,Google
434,356,5,2025-01-13,226.34,Won,2025-01-18,Direct Mail
435,668,3,2025-01-08,7559.71,Open,,Home Services Marketplace
436,732,3,2025-01-06,6768.25,Lost,,Organic
437,726,6,2025-01-06,1595.13,Open,,Referral
438,1437,1,2025-01-17,447.16,Won,2025-01-18,Home Services Marketplace
439,52,1,2025-01-07,402.61,Open,,Google
440,222,2,2025-01-10,481.77,Won,2025-01-18,Home Services Marketplace
441,380,1,2025-01-15,515.63,Lost,,Organic
442,739,1,2025-01-12,854.34,Won,2025-01-18,Google
443,729,1,2025-01-17,466.1,Lost,,Referral
444,1107,4,2025-01-13,2706.99,Won,2025-01-18,Home Services Marketplace
445,1308,1,2025-01-17,583.38,Won,2025-01-18,Home Services Marketplace
446,1018,3,2025-01-17,17311.7,Won,2025-01-19,Google
447,668,1,2025-01-08,382.66,Lost,,Home Services Marketplace
